Area,Bedrooms,Bathrooms,Floor,AgeOfProperty,Furnishing,Parking,City,Rent
1811,1,2,5,10,Furnished,Yes,Delhi,78641
434,2,1,10,1,Furnished,Yes,Delhi,44906
2468,2,2,9,14,Furnished,Yes,Delhi,107895
1989,4,2,3,15,Unfurnished,No,Bangalore,90573
1860,5,3,5,0,Semi-Furnished,No,Pune,91647
2162,1,3,10,4,Furnished,No,Hyderabad,85403
2127,4,3,16,8,Unfurnished,No,Chennai,80877
819,4,2,5,1,Furnished,Yes,Hyderabad,64741
2485,2,1,17,5,Unfurnished,Yes,Bangalore,99456
2490,2,2,3,1,Furnished,No,Hyderabad,94190
2017,5,3,11,5,Semi-Furnished,Yes,Mumbai,145489
2590,4,1,18,2,Unfurnished,Yes,Hyderabad,101343
1816,5,3,7,4,Furnished,Yes,Ahmedabad,74909
1323,2,4,10,15,Semi-Furnished,Yes,Chennai,58488
1294,2,4,2,3,Semi-Furnished,No,Chennai,54435
2953,3,1,17,0,Furnished,Yes,Ahmedabad,87321
2496,3,4,11,10,Furnished,Yes,Pune,99569
1661,1,2,14,6,Unfurnished,Yes,Delhi,73660
454,5,3,11,0,Furnished,Yes,Pune,64010
838,4,2,18,11,Furnished,No,Bangalore,68157
1946,5,3,17,10,Semi-Furnished,No,Delhi,118033
1143,4,1,8,5,Unfurnished,No,Chennai,50182
2005,4,1,8,3,Furnished,No,Hyderabad,91495
608,1,1,9,11,Furnished,No,Pune,27820
2078,3,2,20,14,Unfurnished,Yes,Bangalore,95018
1042,1,1,2,3,Semi-Furnished,Yes,Pune,38661
2900,1,4,10,3,Semi-Furnished,Yes,Pune,96645
443,3,2,20,4,Furnished,No,Mumbai,65240
2613,1,4,9,8,Semi-Furnished,Yes,Delhi,112465
701,1,1,19,8,Furnished,Yes,Ahmedabad,31580
2244,1,4,14,4,Semi-Furnished,No,Delhi,104193
1946,5,3,9,3,Unfurnished,No,Delhi,116143
2152,2,4,12,7,Unfurnished,No,Bangalore,95960
2382,3,2,9,8,Furnished,Yes,Bangalore,107354
1376,4,4,9,2,Unfurnished,No,Chennai,67259
2718,1,1,18,12,Furnished,No,Hyderabad,88650
812,4,4,11,7,Semi-Furnished,Yes,Pune,61609
543,4,3,16,14,Semi-Furnished,No,Mumbai,71670
1826,4,2,1,12,Unfurnished,Yes,Pune,75606
973,4,2,20,15,Unfurnished,Yes,Bangalore,64421
1520,5,1,4,4,Unfurnished,Yes,Bangalore,83515
500,4,3,18,8,Unfurnished,Yes,Mumbai,74310
856,1,1,5,6,Furnished,Yes,Bangalore,44363
2756,3,1,14,5,Semi-Furnished,No,Hyderabad,103797
2524,5,3,16,7,Unfurnished,No,Ahmedabad,79769
2877,1,3,9,12,Furnished,No,Chennai,83041
590,2,2,9,4,Furnished,No,Delhi,51444
2291,5,2,12,8,Unfurnished,No,Pune,90715
1513,3,1,2,10,Furnished,Yes,Pune,62870
1321,3,3,3,12,Furnished,No,Chennai,59150
1222,4,4,4,2,Furnished,Yes,Pune,76226
1200,3,1,12,3,Furnished,No,Bangalore,72834
803,4,1,4,14,Semi-Furnished,Yes,Pune,48980
1527,1,3,15,11,Semi-Furnished,Yes,Pune,60706
2956,1,2,7,4,Semi-Furnished,No,Pune,91555
609,4,1,12,15,Furnished,No,Pune,44529
2120,5,2,15,7,Furnished,No,Hyderabad,101920
1948,3,2,19,4,Furnished,Yes,Mumbai,129202
2184,5,2,15,10,Semi-Furnished,Yes,Bangalore,116243
1102,4,3,18,9,Furnished,Yes,Bangalore,82727
2196,4,2,7,5,Semi-Furnished,Yes,Delhi,116224
798,3,3,4,11,Unfurnished,No,Hyderabad,44248
1911,5,3,14,3,Furnished,Yes,Pune,99822
1634,1,4,17,14,Furnished,Yes,Hyderabad,69694
1174,4,2,11,6,Semi-Furnished,No,Delhi,77376
2985,4,3,3,15,Furnished,No,Pune,107066
719,4,2,8,15,Semi-Furnished,Yes,Pune,50663
601,2,4,8,1,Furnished,Yes,Ahmedabad,38155
672,1,2,3,11,Furnished,Yes,Pune,35893
1374,1,4,13,2,Unfurnished,Yes,Ahmedabad,48895
1103,5,4,1,1,Semi-Furnished,No,Delhi,95395
2998,5,2,10,2,Semi-Furnished,Yes,Mumbai,179705
481,4,2,3,14,Furnished,No,Hyderabad,45200
1760,2,4,1,7,Unfurnished,Yes,Ahmedabad,56918
513,5,1,13,9,Unfurnished,No,Ahmedabad,31895
1966,3,3,11,6,Unfurnished,Yes,Pune,77356
692,1,2,20,5,Unfurnished,Yes,Pune,38315
2928,2,1,17,4,Unfurnished,Yes,Pune,94083
1276,2,4,13,11,Unfurnished,Yes,Chennai,52962
899,3,2,3,14,Unfurnished,No,Bangalore,51690
1472,3,3,20,5,Furnished,No,Pune,72624
1709,3,2,15,4,Semi-Furnished,Yes,Ahmedabad,61216
830,3,4,11,8,Semi-Furnished,Yes,Ahmedabad,46202
2641,3,4,3,13,Semi-Furnished,Yes,Ahmedabad,76171
2269,1,2,14,9,Unfurnished,No,Ahmedabad,55508
1558,5,2,16,2,Unfurnished,No,Delhi,98229
1228,3,3,20,15,Semi-Furnished,Yes,Bangalore,77864
1572,2,1,6,12,Unfurnished,No,Pune,52664
2533,4,1,12,10,Furnished,No,Delhi,120688
2868,5,3,11,12,Furnished,Yes,Delhi,146498
1004,1,4,16,12,Furnished,Yes,Ahmedabad,45221
1383,5,2,9,5,Semi-Furnished,No,Chennai,66547
2624,5,3,6,13,Furnished,Yes,Hyderabad,117058
545,4,3,10,13,Furnished,No,Pune,50122
2778,4,2,8,13,Semi-Furnished,No,Chennai,90848
447,4,3,17,15,Unfurnished,No,Pune,40595
459,5,3,11,11,Furnished,Yes,Chennai,52170
1699,2,4,14,10,Furnished,Yes,Delhi,97285
822,3,2,12,5,Unfurnished,Yes,Hyderabad,54009
2026,5,3,19,1,Furnished,Yes,Pune,103102
2388,3,2,17,9,Furnished,No,Pune,89729
579,4,4,5,11,Unfurnished,Yes,Pune,52364
1614,2,1,11,10,Furnished,No,Bangalore,71612
455,3,1,20,15,Unfurnished,Yes,Chennai,32530
1264,5,3,13,7,Furnished,Yes,Delhi,101648
936,2,3,8,6,Unfurnished,No,Pune,43680
1313,1,4,6,1,Semi-Furnished,No,Pune,58133
1952,4,4,19,10,Semi-Furnished,No,Mumbai,139872
902,5,4,17,2,Unfurnished,No,Ahmedabad,52445
2371,4,1,3,0,Unfurnished,No,Bangalore,106977
1921,5,4,9,0,Semi-Furnished,Yes,Mumbai,148393
1423,4,1,3,0,Furnished,Yes,Ahmedabad,59424
779,4,4,16,0,Furnished,Yes,Bangalore,78715
2557,1,2,7,4,Semi-Furnished,Yes,Bangalore,98755
2878,5,3,19,14,Semi-Furnished,Yes,Hyderabad,123085
1031,3,1,3,7,Semi-Furnished,Yes,Ahmedabad,40706
669,5,1,2,2,Unfurnished,Yes,Chennai,45578
505,1,3,12,15,Unfurnished,Yes,Chennai,25479
1641,5,2,7,6,Unfurnished,No,Delhi,97281
2741,2,2,20,4,Semi-Furnished,Yes,Pune,95649
1233,5,1,3,1,Unfurnished,Yes,Chennai,59454
2998,4,4,4,13,Semi-Furnished,No,Mumbai,173092
2572,5,1,9,13,Unfurnished,No,Ahmedabad,72265
2345,4,3,17,8,Furnished,No,Delhi,124210
2232,3,3,1,9,Semi-Furnished,No,Hyderabad,89387
513,1,1,20,10,Semi-Furnished,No,Pune,27004
979,1,4,17,14,Semi-Furnished,Yes,Ahmedabad,40011
2806,2,3,3,12,Unfurnished,Yes,Hyderabad,94377
1116,4,1,5,1,Semi-Furnished,No,Mumbai,86467
2324,4,3,8,4,Semi-Furnished,Yes,Pune,95854
1115,3,2,7,12,Semi-Furnished,No,Ahmedabad,41185
2734,4,4,13,4,Furnished,No,Delhi,145691
464,3,2,5,12,Semi-Furnished,No,Pune,33481
2578,1,2,10,11,Furnished,Yes,Hyderabad,88862
1385,5,1,15,11,Semi-Furnished,Yes,Ahmedabad,57495
2353,2,2,19,8,Unfurnished,Yes,Mumbai,125361
1482,4,3,14,11,Furnished,No,Mumbai,112703
2481,5,4,15,9,Unfurnished,No,Hyderabad,112807
1005,2,3,16,11,Semi-Furnished,Yes,Mumbai,81497
2597,5,4,12,5,Semi-Furnished,No,Pune,109332
2387,3,4,1,5,Furnished,No,Hyderabad,103907
1347,3,3,2,8,Semi-Furnished,Yes,Bangalore,77085
540,3,2,1,4,Unfurnished,No,Mumbai,57694
1230,4,3,8,8,Furnished,No,Bangalore,83200
1698,4,4,16,5,Furnished,No,Pune,84720
2833,1,4,16,5,Unfurnished,Yes,Hyderabad,103081
1007,2,4,6,5,Semi-Furnished,Yes,Mumbai,86309
2932,3,4,11,13,Unfurnished,Yes,Hyderabad,113666
1590,4,4,19,0,Semi-Furnished,Yes,Ahmedabad,68998
1991,5,1,5,15,Furnished,No,Mumbai,127435
680,4,1,18,11,Furnished,No,Hyderabad,54045
2539,5,4,10,14,Semi-Furnished,No,Mumbai,166635
787,2,2,19,7,Furnished,Yes,Pune,45818
2094,5,4,17,0,Semi-Furnished,No,Delhi,133677
2055,5,2,10,11,Semi-Furnished,Yes,Mumbai,135790
1735,2,4,17,14,Unfurnished,No,Chennai,62164
875,3,1,9,11,Semi-Furnished,No,Bangalore,54125
1282,5,4,14,8,Unfurnished,No,Mumbai,119739
1938,5,4,19,9,Semi-Furnished,No,Mumbai,146808
2480,2,2,17,2,Semi-Furnished,Yes,Hyderabad,94895
2839,3,3,3,2,Unfurnished,Yes,Pune,98940
830,2,2,1,8,Unfurnished,Yes,Bangalore,47590
798,4,4,3,0,Furnished,No,Chennai,57500
1323,1,3,20,2,Furnished,No,Delhi,77222
589,2,4,9,4,Unfurnished,Yes,Delhi,52540
2729,5,4,7,7,Unfurnished,Yes,Mumbai,173772
2947,4,1,20,12,Semi-Furnished,No,Chennai,98351
